date,user,account,amount,memo
2024-01-01 00:00:00,MALI,4000-Rev,-74.59,Top-side
2024-01-01 01:00:00,MALI,6000-Exp,-56698.5,Top-side
2024-01-01 02:00:00,AKHAN,4000-Rev,4570.56,Top-side
2024-01-01 03:00:00,MALI,5000-COGS,-984.67,Refund
2024-01-01 04:00:00,FIN_AP,2000-AP,-6.03,Top-side
2024-01-01 05:00:00,FIN_AP,4000-Rev,6.03,Invoice
2024-01-01 06:00:00,JDOE,6000-Exp,1385.0,Top-side
2024-01-01 07:00:00,MALI,3000-AR,21423.02,Invoice
2024-01-01 08:00:00,FIN_AR,6000-Exp,1012.92,Receipt
2024-01-01 09:00:00,JDOE,4000-Rev,-3470.27,Adj
2024-01-01 10:00:00,AKHAN,3000-AR,-1.27,Refund
2024-01-01 11:00:00,MALI,5000-COGS,70721.14,Invoice
2024-01-01 12:00:00,FIN_AP,6000-Exp,14528.25,Rev Recog
2024-01-01 13:00:00,FIN_AR,2000-AP,9953.0,Receipt
2024-01-01 14:00:00,JDOE,3000-AR,-8.11,Adj
2024-01-01 15:00:00,FIN_AR,3000-AR,8.26,Adj
2024-01-01 16:00:00,MALI,6000-Exp,-33.21,Adj
2024-01-01 17:00:00,SYS_BOT,4000-Rev,420.52,Invoice
2024-01-01 18:00:00,FIN_AR,3000-AR,144.45,Receipt
2024-01-01 19:00:00,FIN_AR,5000-COGS,28.59,Top-side
2024-01-01 20:00:00,AKHAN,6000-Exp,1146.21,Rev Recog
2024-01-01 21:00:00,FIN_AP,5000-COGS,4.98,Receipt
2024-01-01 22:00:00,MALI,6000-Exp,0.0,Receipt
2024-01-01 23:00:00,FIN_AR,5000-COGS,5841.0,Receipt
2024-01-02 00:00:00,MALI,4000-Rev,-190.7,Invoice
2024-01-02 01:00:00,FIN_AP,6000-Exp,8431.01,Rev Recog
2024-01-02 02:00:00,AKHAN,2000-AP,-9.96,Invoice
2024-01-02 03:00:00,MALI,4000-Rev,372.54,Rev Recog
2024-01-02 04:00:00,FIN_AP,5000-COGS,916.37,Rev Recog
2024-01-02 05:00:00,FIN_AP,6000-Exp,1.71,Invoice
2024-01-02 06:00:00,JDOE,4000-Rev,1090.75,Rev Recog
2024-01-02 07:00:00,AKHAN,5000-COGS,-9653.0,Receipt
2024-01-02 08:00:00,AKHAN,1000-Cash,2.11,Invoice
2024-01-02 09:00:00,MALI,1000-Cash,55517.22,Rev Recog
2024-01-02 10:00:00,SYS_BOT,3000-AR,6903.0,Adj
2024-01-02 11:00:00,JDOE,2000-AP,11015.06,Invoice
2024-01-02 12:00:00,AKHAN,1000-Cash,7510.0,Refund
2024-01-02 13:00:00,FIN_AP,5000-COGS,3.08,Invoice
2024-01-02 14:00:00,AKHAN,4000-Rev,-2637.33,Invoice
2024-01-02 15:00:00,SYS_BOT,6000-Exp,-158.77,Invoice
2024-01-02 16:00:00,FIN_AR,4000-Rev,4.08,Rev Recog
2024-01-02 17:00:00,FIN_AR,3000-AR,299.15,Invoice
2024-01-02 18:00:00,AKHAN,4000-Rev,1.49,Refund
2024-01-02 19:00:00,AKHAN,1000-Cash,35204.81,Top-side
2024-01-02 20:00:00,JDOE,4000-Rev,19.67,Invoice
2024-01-02 21:00:00,AKHAN,1000-Cash,2054.05,Adj
2024-01-02 22:00:00,SYS_BOT,1000-Cash,-36.19,Refund
2024-01-02 23:00:00,AKHAN,2000-AP,-398.42,Top-side
2024-01-03 00:00:00,MALI,3000-AR,5306.0,Rev Recog
2024-01-03 01:00:00,SYS_BOT,5000-COGS,8.4,Invoice
2024-01-03 02:00:00,JDOE,1000-Cash,9664.0,Top-side
2024-01-03 03:00:00,MALI,6000-Exp,7510.42,Adj
2024-01-03 04:00:00,MALI,3000-AR,-49830.44,Refund
2024-01-03 05:00:00,FIN_AR,5000-COGS,29794.54,Refund
2024-01-03 06:00:00,SYS_BOT,6000-Exp,-8230.0,Rev Recog
2024-01-03 07:00:00,MALI,4000-Rev,40679.08,Rev Recog
2024-01-03 08:00:00,JDOE,3000-AR,2.77,Rev Recog
2024-01-03 09:00:00,FIN_AR,6000-Exp,9.55,Top-side
2024-01-03 10:00:00,MALI,3000-AR,1.68,Invoice
2024-01-03 11:00:00,SYS_BOT,3000-AR,-42.33,Receipt
2024-01-03 12:00:00,FIN_AR,4000-Rev,87.78,Refund
2024-01-03 13:00:00,SYS_BOT,4000-Rev,22.74,Receipt
2024-01-03 14:00:00,SYS_BOT,3000-AR,13921.55,Refund
2024-01-03 15:00:00,SYS_BOT,6000-Exp,60.78,Rev Recog
2024-01-03 16:00:00,FIN_AR,2000-AP,25.39,Invoice
2024-01-03 17:00:00,MALI,1000-Cash,516.99,Invoice
2024-01-03 18:00:00,AKHAN,4000-Rev,-5276.0,Refund
2024-01-03 19:00:00,FIN_AP,2000-AP,10256.16,Top-side
2024-01-03 20:00:00,MALI,4000-Rev,-2.36,Rev Recog
2024-01-03 21:00:00,FIN_AR,3000-AR,85987.37,Invoice
2024-01-03 22:00:00,FIN_AP,2000-AP,7264.8,Invoice
2024-01-03 23:00:00,FIN_AP,6000-Exp,9.85,Adj
2024-01-04 00:00:00,FIN_AP,6000-Exp,1.07,Invoice
2024-01-04 01:00:00,AKHAN,5000-COGS,11948.33,Adj
2024-01-04 02:00:00,JDOE,1000-Cash,-3422.05,Invoice
2024-01-04 03:00:00,FIN_AR,1000-Cash,4416.07,Invoice
2024-01-04 04:00:00,AKHAN,4000-Rev,7183.76,Top-side
2024-01-04 05:00:00,AKHAN,1000-Cash,2.35,Top-side
2024-01-04 06:00:00,JDOE,5000-COGS,-4280.0,Rev Recog
2024-01-04 07:00:00,FIN_AP,6000-Exp,3796.0,Invoice
